                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1603,                 3.3741,                 1.5165,                0.53052,                0.58375,                0.55179,                0.37025,                  1.132,                 2.5322,                 1.5179,              0.0002038,              0.0002038,              0.0002038
                      2,                0.95953,                 1.4361,                 1.3072,                0.64275,                0.58888,                0.63735,                  0.386,                 1.2373,                 2.3457,                 1.7857,             0.00040631,             0.00040631,             0.00040631
                      3,                 1.0041,                 1.2698,                 1.3322,                0.50852,                0.44348,                0.47343,                0.22761,                 1.5923,                  2.562,                 2.0535,             0.00060292,             0.00060292,             0.00060292
                      4,                 1.0123,                 1.2352,                 1.3461,                0.65389,                0.59618,                0.63123,                0.38594,                 1.3223,                 1.7731,                 1.7362,             0.00059848,             0.00059848,             0.00059848
                      5,                0.98789,                 1.1291,                 1.3306,                0.70391,                0.66962,                0.71441,                0.45171,                 1.2326,                 1.4065,                 1.5962,             0.00058964,             0.00058964,             0.00058964
                      6,                0.94434,                 1.0393,                 1.2884,                0.70066,                0.65616,                0.70018,                0.47904,                 1.0922,                 1.3922,                 1.4981,              0.0005808,              0.0005808,              0.0005808
                      7,                0.92211,                0.99063,                 1.2765,                0.75703,                0.70946,                0.77592,                0.52322,                 1.1507,                 1.2506,                 1.5237,             0.00057196,             0.00057196,             0.00057196
                      8,                0.91736,                 0.9661,                 1.2685,                0.77793,                0.74106,                0.77711,                0.55182,                 1.0331,                 1.1185,                 1.4459,             0.00056313,             0.00056313,             0.00056313
                      9,                0.89267,                0.91287,                  1.253,                0.71409,                0.72921,                0.74343,                0.51644,                 1.1132,                 1.2373,                 1.4811,             0.00055429,             0.00055429,             0.00055429
                     10,                0.87931,                0.88646,                 1.2508,                0.77803,                0.72728,                 0.7893,                 0.5561,                 1.0419,                 1.1629,                 1.4027,             0.00054545,             0.00054545,             0.00054545
                     11,                0.85237,                0.86738,                 1.2303,                0.77761,                0.78856,                0.81498,                0.58306,                 1.0251,                 1.0829,                 1.4313,             0.00053661,             0.00053661,             0.00053661
                     12,                0.84869,                0.83753,                 1.2344,                0.81663,                0.79059,                0.82087,                0.60046,                0.94274,                0.97125,                 1.3565,             0.00052777,             0.00052777,             0.00052777
                     13,                0.84911,                0.80863,                 1.2204,                0.81944,                 0.7929,                0.83566,                0.61183,                0.94399,                0.99597,                 1.3346,             0.00051893,             0.00051893,             0.00051893
                     14,                0.82651,                0.80692,                 1.2185,                0.82174,                 0.7972,                0.83596,                0.61234,                0.95785,                0.92547,                 1.3503,             0.00051009,             0.00051009,             0.00051009
                     15,                0.83474,                0.79582,                 1.2141,                0.80577,                0.79399,                0.83929,                0.61973,                0.94469,                0.91783,                 1.3414,             0.00050125,             0.00050125,             0.00050125
                     16,                0.81608,                0.76621,                 1.2094,                0.84693,                0.78904,                0.84705,                0.62167,                0.94391,                0.88389,                 1.3402,             0.00049241,             0.00049241,             0.00049241
                     17,                0.79614,                0.73832,                 1.1852,                0.84597,                0.82497,                0.86471,                0.65561,                0.89706,                0.85609,                 1.3013,             0.00048357,             0.00048357,             0.00048357
                     18,                0.79337,                0.72248,                 1.1802,                  0.821,                 0.7909,                0.84691,                0.62839,                0.93376,                0.85163,                 1.3125,             0.00047473,             0.00047473,             0.00047473
                     19,                0.78317,                0.72668,                 1.1792,                0.84144,                0.81539,                0.86927,                0.65978,                0.89649,                0.81199,                 1.2859,             0.00046589,             0.00046589,             0.00046589
                     20,                0.78031,                0.70923,                 1.1747,                0.80787,                0.83176,                0.86751,                0.65991,                0.87508,                0.81961,                 1.2915,             0.00045705,             0.00045705,             0.00045705
                     21,                0.76682,                 0.6899,                  1.164,                0.85756,                0.82021,                0.86576,                 0.6518,                0.89036,                0.82783,                 1.2957,             0.00044821,             0.00044821,             0.00044821
                     22,                0.76398,                0.69171,                 1.1648,                0.84162,                0.82159,                0.86367,                 0.6584,                0.86551,                0.81613,                 1.2891,             0.00043937,             0.00043937,             0.00043937
                     23,                0.75207,                0.67586,                 1.1612,                0.85061,                0.82356,                0.87973,                0.68002,                0.84733,                0.79379,                  1.257,             0.00043054,             0.00043054,             0.00043054
                     24,                0.76013,                 0.6573,                 1.1664,                0.82782,                0.83287,                0.87255,                0.65826,                0.88549,                0.82014,                 1.2851,              0.0004217,              0.0004217,              0.0004217
                     25,                0.75145,                0.65991,                 1.1627,                0.86348,                0.83555,                0.88262,                0.68731,                0.84957,                0.79182,                 1.2485,             0.00041286,             0.00041286,             0.00041286
                     26,                0.74192,                0.64065,                 1.1527,                0.88949,                0.81775,                 0.8859,                0.69209,                0.86358,                0.83357,                 1.2602,             0.00040402,             0.00040402,             0.00040402
                     27,                0.73721,                0.63706,                 1.1545,                0.88193,                0.83824,                0.88639,                0.68582,                0.84444,                0.76589,                 1.2802,             0.00039518,             0.00039518,             0.00039518
