                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70387,                0.58793,                 1.1245,                0.85987,                0.83769,                0.88074,                0.68564,                0.83815,                0.75605,                 1.2416,             0.00041462,             0.00041462,             0.00041462
                     36,                0.71026,                0.57869,                 1.1216,                0.88073,                0.84399,                0.88899,                0.70583,                0.79754,                0.71852,                 1.2261,             0.00040844,             0.00040844,             0.00040844
                     37,                0.70725,                0.57291,                 1.1253,                0.88255,                0.86893,                0.89665,                0.70631,                0.79513,                0.70443,                 1.2074,             0.00040225,             0.00040225,             0.00040225
                     38,                0.69535,                 0.5622,                 1.1175,                0.87447,                0.86136,                0.89593,                0.71521,                0.79715,                0.71738,                 1.2223,             0.00039606,             0.00039606,             0.00039606
                     39,                0.68452,                0.56921,                 1.1133,                0.87869,                 0.8469,                0.88954,                0.70406,                0.80378,                0.76445,                  1.223,             0.00038988,             0.00038988,             0.00038988
                     40,                0.69955,                0.57197,                 1.1245,                0.90541,                  0.847,                0.89953,                0.71751,                0.77987,                0.72243,                  1.196,             0.00038369,             0.00038369,             0.00038369
                     41,                 0.6909,                 0.5587,                  1.118,                0.87256,                0.87442,                0.90444,                0.71899,                0.79971,                0.70186,                 1.2187,              0.0003775,              0.0003775,              0.0003775
                     42,                0.68164,                 0.5474,                 1.1086,                0.87196,                0.87984,                0.90167,                0.71658,                0.78991,                0.69105,                 1.2072,             0.00037131,             0.00037131,             0.00037131
                     43,                0.67635,                0.54492,                 1.1116,                0.87859,                0.87102,                0.90386,                0.72427,                0.78416,                 0.7131,                 1.2282,             0.00036513,             0.00036513,             0.00036513
                     44,                0.67728,                0.53458,                 1.1081,                0.88818,                0.86943,                 0.9007,                0.71659,                 0.7854,                0.71755,                 1.2213,             0.00035894,             0.00035894,             0.00035894
                     45,                0.66754,                0.53296,                 1.1056,                0.89289,                0.85303,                0.90178,                0.72472,                0.77496,                0.70855,                   1.19,             0.00035275,             0.00035275,             0.00035275
                     46,                0.68087,                0.52897,                 1.1032,                0.90395,                0.84762,                 0.9003,                0.72057,                0.77347,                0.76221,                 1.1812,             0.00034656,             0.00034656,             0.00034656
                     47,                0.65701,                0.51659,                 1.0938,                 0.8826,                0.86581,                0.89891,                0.72875,                0.75947,                0.70083,                 1.1966,             0.00034038,             0.00034038,             0.00034038
                     48,                0.65964,                0.52335,                 1.0945,                0.90321,                0.86545,                0.90699,                0.73367,                0.76077,                 0.6685,                   1.19,             0.00033419,             0.00033419,             0.00033419
                     49,                0.65107,                0.51473,                 1.0924,                0.90607,                0.85505,                0.90783,                0.73153,                0.75996,                0.67556,                 1.1983,               0.000328,               0.000328,               0.000328
                     50,                0.64578,                0.49689,                 1.0887,                 0.8968,                0.86341,                0.90814,                0.73279,                0.76098,                0.68992,                 1.1899,             0.00032181,             0.00032181,             0.00032181
                     51,                0.65605,                0.50469,                 1.0952,                0.90989,                0.85424,                0.90193,                0.73074,                0.76462,                0.69004,                 1.2038,             0.00031562,             0.00031562,             0.00031562
                     52,                0.64145,                0.49005,                 1.0885,                0.88587,                0.87939,                0.90886,                0.73622,                0.75941,                0.69604,                   1.18,             0.00030944,             0.00030944,             0.00030944
                     53,                0.62778,                0.49093,                 1.0788,                0.91207,                0.86658,                0.91123,                0.74565,                0.75679,                0.65826,                 1.1873,             0.00030325,             0.00030325,             0.00030325
                     54,                0.63687,                0.48383,                 1.0832,                0.88969,                0.86859,                0.90779,                0.74429,                0.74846,                0.66538,                 1.1784,             0.00029706,             0.00029706,             0.00029706
                     55,                0.63203,                0.47826,                 1.0852,                0.90123,                0.87352,                0.90786,                0.74442,                 0.7359,                0.65725,                 1.1816,             0.00029088,             0.00029088,             0.00029088
                     56,                0.63587,                 0.4824,                 1.0815,                0.90574,                0.87816,                0.91186,                0.74755,                0.73466,                0.66326,                 1.1624,             0.00028469,             0.00028469,             0.00028469
                     57,                0.62306,                0.48021,                 1.0734,                0.89841,                0.88814,                 0.9095,                0.74889,                0.74183,                0.66066,                 1.1694,              0.0002785,              0.0002785,              0.0002785
                     58,                0.63317,                0.47263,                 1.0848,                0.90929,                0.88352,                0.91093,                0.74814,                0.73764,                0.66714,                 1.1765,             0.00027231,             0.00027231,             0.00027231
                     59,                0.61279,                0.46013,                 1.0732,                0.91024,                0.88048,                0.91047,                0.74591,                0.74287,                0.66456,                 1.1848,             0.00026613,             0.00026613,             0.00026613
                     60,                 0.6188,                0.46389,                 1.0715,                0.90406,                0.88533,                0.91117,                0.74681,                0.73305,                0.65443,                 1.1764,             0.00025994,             0.00025994,             0.00025994
                     61,                0.60858,                0.46051,                 1.0671,                0.92029,                0.87036,                0.91037,                0.74976,                0.74928,                0.66046,                 1.1983,             0.00025375,             0.00025375,             0.00025375
                     62,                0.60439,                0.45064,                 1.0605,                0.91234,                0.87822,                0.90829,                0.74903,                0.74127,                0.66032,                 1.1832,             0.00024756,             0.00024756,             0.00024756
                     63,                0.60096,                 0.4507,                 1.0608,                0.91752,                0.87209,                0.90973,                 0.7561,                0.72647,                0.66588,                 1.1732,             0.00024137,             0.00024137,             0.00024137
                     64,                0.60695,                0.45018,                 1.0652,                0.90314,                0.87791,                0.90696,                0.75479,                0.71698,                0.67021,                 1.1655,             0.00023519,             0.00023519,             0.00023519
                     65,                0.59814,                 0.4452,                 1.0619,                0.91036,                0.89141,                0.90967,                0.75409,                0.71852,                0.63428,                 1.1616,               0.000229,               0.000229,               0.000229
                     66,                0.59602,                0.43499,                 1.0572,                 0.9149,                0.87278,                0.91389,                0.75927,                0.71937,                0.66932,                 1.1577,             0.00022281,             0.00022281,             0.00022281
                     67,                0.58771,                0.43814,                 1.0547,                 0.9135,                0.88136,                0.91296,                0.75669,                 0.7275,                 0.6422,                  1.172,             0.00021662,             0.00021662,             0.00021662
                     68,                0.58748,                0.43572,                 1.0571,                0.91501,                0.88144,                0.91469,                 0.7605,                0.71984,                0.66437,                 1.1782,             0.00021044,             0.00021044,             0.00021044
                     69,                0.58226,                0.43071,                 1.0518,                0.90944,                0.88208,                0.91395,                0.75744,                0.72758,                 0.6595,                 1.1639,             0.00020425,             0.00020425,             0.00020425
                     70,                0.57915,                0.42681,                 1.0522,                0.90658,                0.89493,                0.91679,                0.75986,                 0.7267,                0.64938,                 1.1748,             0.00019806,             0.00019806,             0.00019806
                     71,                0.57311,                0.41732,                 1.0439,                 0.9091,                0.88743,                 0.9124,                0.75901,                0.72456,                0.66596,                 1.1756,             0.00019188,             0.00019188,             0.00019188
                     72,                0.57226,                0.41296,                  1.046,                0.91308,                0.88685,                0.91485,                0.76415,                0.71454,                0.64444,                 1.1702,             0.00018569,             0.00018569,             0.00018569
                     73,                0.56109,                0.40782,                 1.0406,                0.90652,                0.88519,                0.91203,                0.75806,                0.71299,                0.67033,                 1.1651,              0.0001795,              0.0001795,              0.0001795
                     74,                0.56423,                0.41196,                 1.0457,                0.91957,                0.88041,                0.91247,                0.75854,                0.71353,                0.64522,                 1.1747,             0.00017331,             0.00017331,             0.00017331
                     75,                0.57189,                0.40814,                 1.0446,                0.90896,                0.89388,                0.91659,                0.76904,                0.70003,                0.64028,                 1.1541,             0.00016713,             0.00016713,             0.00016713
                     76,                0.55487,                0.40051,                 1.0365,                0.91483,                0.87892,                0.91375,                0.76674,                0.70427,                0.70141,                 1.1591,             0.00016094,             0.00016094,             0.00016094
                     77,                0.55672,                0.40282,                 1.0381,                  0.899,                0.89507,                0.91413,                 0.7656,                0.71234,                0.63168,                 1.1728,             0.00015475,             0.00015475,             0.00015475
                     78,                0.55102,                0.40224,                 1.0402,                 0.9363,                0.86638,                0.91478,                 0.7688,                0.69995,                0.64574,                 1.1535,             0.00014856,             0.00014856,             0.00014856
                     79,                0.54161,                0.39073,                 1.0272,                0.91804,                0.88219,                0.91863,                 0.7736,                0.70439,                0.66188,                 1.1618,             0.00014237,             0.00014237,             0.00014237
                     80,                0.54871,                0.38781,                 1.0363,                0.92346,                0.88815,                 0.9193,                0.77116,                0.71005,                0.65117,                  1.165,             0.00013619,             0.00013619,             0.00013619
                     81,                0.53512,                0.38114,                 1.0224,                0.92706,                 0.8781,                0.91783,                0.77073,                0.69555,                0.64659,                 1.1677,                0.00013,                0.00013,                0.00013
                     82,                0.53325,                0.38619,                 1.0269,                0.91569,                0.88589,                 0.9177,                0.77476,                0.69544,                0.66302,                 1.1537,             0.00012381,             0.00012381,             0.00012381
                     83,                0.54801,                0.38472,                 1.0302,                0.91615,                  0.892,                0.91784,                0.77523,                 0.6948,                0.64484,                 1.1532,             0.00011763,             0.00011763,             0.00011763
